comment,cleaned_comment
"terus kenapa yaa yang bikin konten kayak gitu mesti cewe? :(""""",terus kenapa yaa yang bikin konten kayak gitu mesti cewe
"terimakasih bang, gua youtuber Baru yang akan merintis dari nol jadi lebih bersemangat. unek2 kita memang relate, mencari rezeki halal memang susah dan butuh effort. moga kita tetap bisa istiqomah dalam menjalankan kebaikan",terimakasih bang gua youtuber yang akan rintis dari nol jadi lebih semangat unek kita memang relate cari rezeki halal memang susah dan butuh effort moga kita tetap bisa istiqomah dalam jalan baik
terima kasih banyak bung ghibran,terima kasih banyak bung ghibran
"Orang yang buat konten seksi kalau melakukan satu kebaikan, dia benar-benar bakal dipandang baik banget, sedangkan konten kreator yang bermanfaat banget pas ngelakuin satu kesalahan, dia itu udah dianggap bener-bener bajingan, entah apa yang ada dipikiran orang-orang kek gini..",yang buat konten seksi kalau laku satu baik dia benarbenar bakal pandang baik banget sedang konten kreator yang manfaat banget pas ngelakuin satu salah dia itu udah anggap benerbener bajing entah apa yang pikir orangorang kek gin
"kenapa gak dari dulu bikin konten kya gini bang tapi it's ok lah dari pada gak sama sekali yakan, moga makin banyak yg speak up soal ini dan makin banyak juga yg sadar terutama para 'wanita' #StopMakingStupidPeopleFamous",kenapa gak dari dulu bikin konten kya gin bang tapi its lah dari pada gak sama sekali yakan moga makin banyak speak soal ini dan makin banyak juga sadar utama para wanita stopmakingstupidpeoplefamous
"ada yang masak dan makan tai kucing loh,, kasian ya",yang masak dan makan tai kucing loh kasi
"Negara sudah menjadi perusahaan swasta, Kebenaran hanya milik sila 1, tujuan perusahaan bukan ke sila ke 2. Mulailah cari untung masing2.",sudah jadi usaha swasta hanya milik sila tuju usaha bukan sila cari untung masing
"salah satu banyak nya kasus pemerkosaan, kasus pencabulan anak sekolah. menurut gua dari video video joget di sosmed apalagi efek dari algoritma sosmed itu sendiri",salah satu banyak nya kasus perkosa kasus cabul anak sekolah turut gua dari video video joget sosmed apalagi efek dari algoritma sosmed itu sendiri
"makasih bang, udah gw subrekk",makasih bang udah subrekk
Pecinta tobruttt adalah pria miskin 😂,tobrutt adalah pria miskin
"Yg paling bikin gua heran, bininya dijadiin bahan konten dgn narasi mesum demi popularitas 😂",paling bikin gua heran bini dijadiin bahan konten dgn narasi mesum demi popularitas
"semakin nyata hadits Nabi tentang penduduk neraka kebanyakan perempuan, dimana salah satu sebabnya adalah berpakaian tapi telanjang. yg sekarang pamer aurat sudah g perlu keluar rumah, di dalam kamar aja bisa pamer aurat ke jutaan manusia.",makin nyata hadits tentang duduk neraka banyak perempuan mana salah satu sebab adalah pakai tapi telanjang sekarang pamer aurat sudah perlu keluar rumah dalam kamar aja bisa pamer aurat juta manusia
"Lagian cewek2 pada knp si, goyang2 buka aurat, udah gt Gym berhijab tp bentuk pantat dipamerin, klo ditegur gak terima yg katanya seni. Klo lagi gairah mending cari cowok dan penginapan buat disetubuhi. Jgn sok2an nawarin badan, apa gak inget klo anak2 kecil sekarang udah paham pegang gadget",cewek pada knp goyang buka aurat udah hijab bentuk pantat dipamerin klo tegur gak terima kata seni lagi gairah mending cari cowok dan inap buat tubuh sok nawarin badan apa gak inget klo anak kecil sekarang udah paham pegang gadget
"keren lu bangg,",keren bangg
"gue subcribe bang, suka bet pertama.liat simple   judul dan gak heboh di tumplain vdio nya.. simple.dan keren cara pnyampaian mya kek bang hertod.. 

tp lebih santai lagi bang karna jaman  skrang keras dikit katanya ngajak berantem wkwkwk😂😂

sabar bang memurutku memberitau wanita tuh percuma tp smngt bang gua hadiahin subcribe chanelmu bang kuh.. semangat",gue subcribe bang suka bet pertamaliat simple judul dan gak heboh tumplain vdio nya simpledan keren cara pnyampaian mya kek bang hertod lebih santai lagi bang karna jaman skrang keras dikit kata ngajak antem wkwkwk sabar bang purut memberitau wanita tuh percuma smngt bang gua hadiahin subcribe chanelmu bang kuh semangat
Only fan,fan
"Konten lu keren bang, auto subscribe",keren bang auto subscribe
"Indonesia perlu lebih banyak edukasi konten seperti ini, semangat brooo",perlu lebih banyak edukasi konten seperti ini semangat broo
setuju bang,tuju bang
"Kesimpulan :
1-lupa dgn nikmat iman,
2-lupa dgn nikmat islam,
3-lupa dgn nikmat sehat.",lupa dgn nikmat iman lupa dgn nikmat islam lupa dgn nikmat sehat
Gk heran jika Imperium Of Man dari 40K menyebut Era kita Sebagai Dark Age Of Technology 😌,heran jika dari sebut kita
Ironis lagi oknumnya pake hijab 😢,lagi oknum pake hijab
"Tujuan konten ini yang perlu di perbaiki, edukasi bercampur tujuan lain, penyimpangan 0,001cm bisa mengubah. kebaikan itu sendiri",konten ini yang perlu baik edukasi campur tuju lain simpang bisa ubah baik itu sendiri
Iyaa bjirrr  hari2 di medsos muncul aja para tobrut united😮,bjirr hari medsos muncul aja para tobrut united
"Anak zaman sekarang gak punya akhlak dan adab tapi langsung main logika, jadi logikanya ya tanpa akhlak dan adab",zaman sekarang gak punya akhlak dan adab tapi langsung main logika jadi logika tanpa akhlak dan adab
Thank you bang buat konten sehatnya,you bang buat konten sehat
"Emang, bangak penjahat lahir dari kecanduan porno.",bangak jahat lahir dari candu porno
"Itulah kenapa saya sebagai artist pekerja seni dan konten kreator lebih memilih membranding di instagram dari pada di tiktok, saya merasakan engagement yang lebih kuat di instagram , sedangkan dari riset saya membuat konten di tiktok, penonton tik tok cenderung menonton apa yang mereka suka , effort membuat video tutorial dan edukasi lebih di hargai oleh pengguna instagram, tips saya kalau mau fyp di tiktok sisipkan juga bumbu “galau percintaan” dan “konten perasaan” apapun jenis konten yang anda buat 😂",kenapa saya bagai artist kerja seni dan konten kreator lebih pilih membranding instagram dari pada tiktok saya rasa engagement yang lebih kuat instagram sedang dari riset saya buat konten tiktok tonton tik tok cenderung tonton apa yang mereka suka effort buat video tutorial dan edukasi lebih harga oleh guna instagram tips saya kalau mau fyp tiktok sisip juga bumbu galau cinta dan konten asa apa jenis konten yang anda buat
nice konten bro,nice konten bro
konten murahan telihat edukasi => reuploader konten edukasi,konten murah telihat edukasi reuploader konten edukasi
"Konten lu bagus bang, btw collab bang ama duzzle",bagus bang btw collab bang ama duzzle
"BAKAT PAMER JUAL DIRI ITU SANGAT2 MENGERIKAN HANYA OTAK KOTOR YANG TERUS2AN NONGOL DI OTAK2 MEREKA.😢
MENYEDIHKAN",bakat pamer jual diri itu sangat keri hanya otak kotor yang terus nongol otak mereka sedih
"Kreator akal rendahan & menjijikan : baju ketatin, dada majuin, muka dimenorin, kadang ada yg pake jilbab, trus joget2",akal rendah jijik baju ketatin dada majuin muka dimenorin kadang pake jilbab trus joget
"Faktanya adalah..

Yg banyak di sorot di video ini adalah MSBREE, yg pendapatannya miliaran per bulan.. jadi ya sigitu harga dirinya.. sangat jauh dg karir si pembuat chanel youtube ini. Makanya orang pada tertarik bikin konten por...o. 

Sebenernya gak jadi masalah kalau targetnya bener, atrinya di sasar ke orang2 dewasa. Yg jadi masalah kan susah nargeting nya, alhasil sampe ke para bocil smp/sma, sehingga terjadilah s*x bebas, dll.

Kalau dibilang ""walaupun orang dewasa kan bisa aja memicu pelechan orang dewasa ke anak2"" gara2 vid po*n. Ya itu bukan sepenuhnya faktor dari konten yg ditonton, jangan2 ot4knya aja yg udah s4nge-an.",adalah banyak sorot video ini adalah msbree dapat miliar per bulan jadi sigitu harga diri sangat jauh karir buat chanel youtube ini orang pada tarik bikin konten poro gak jadi masalah kalau target bener atrinya sasar orang dewasa jadi masalah kan susah nargeting nya alhasil sampe para bocil smpsma sehingga jadi bebas dll bilang walaupun orang dewasa kan bisa aja picu pelechan orang dewasa anak gara vid pon itu bukan sepenuh faktor dari konten tonton jangan otknya aja udah sngean
"dulu islam datang untuk menaikan derajat wanita. terus ibu R.A katini berjuang untuk kaum wanita. namun di era modern malah banyak wanita yang merendahkan diri mereka sendiri

YTku sih aman2 saja keknya malah gak pernah nongol konten begituan

berbeda dengan medsos yang lain, gak di cari, gak ngelike/follow FP tetap aja kadang random muncul di beranda

Bagiku konten yang menarik malah konten nature atau eksplore alam bebas apalagi lihat pemandangan2 yang begitu indah. Sangat membuat takjub akan ciptaan Tuhan",dulu islam datang untuk naik derajat wanita terus ibu katini juang untuk kaum wanita namun era modern malah banyak wanita yang rendah diri mereka sendiri ytku sih aman saja kek malah gak pernah nongol konten begitu beda dengan medsos yang lain gak cari gak ngelikefollow tetap aja kadang random muncul beranda konten yang tarik malah konten nature atau eksplore alam bebas apalagi lihat pandang yang begitu indah buat takjub akan cipta
bukan ilusi tapi sihir dajjal.. aliss fitnah akhir zamann,bukan ilusi tapi sihir dajjal aliss fitnah akhir zamann
"Cewek itu butuh pengakuan seperti like, jika like nya sedikit dia akan semakin berani, jika saingan mereka semakin banyak makan akan semakin mendekati telanjang, jadi kuncinya adalah di laki2, jika laki2 menundukkan pandangan dan laki2 serius dengan wanita terhormat maka wanita akan berlomba2 menjadi baik untuk mendapatkan oe4hatian laki2",itu butuh aku seperti like jika like nya sedikit dia akan makin berani jika saing mereka makin banyak makan akan makin dekat telanjang jadi kunci adalah laki jika laki tunduk pandang dan laki serius dengan wanita hormat maka wanita akan lomba jadi baik untuk dapat oehatian laki
Gua bantu share bang semoga terus berkembang edukasi nya 🔥🫶✨👍,bantu share bang moga terus kembang edukasi nya
coba bang dikombinasikan konten edukasi dan konten seksual yg sehat... bisa ga....,coba bang kombinasi konten edukasi dan konten seksual sehat bisa
"Video yang di benci user tiktok, why karena yaaa emang itu isi searching mereka 😂",yang benci user tiktok why karena yaa emang itu isi searching mereka
Jadi!!! Buatlah konten berinovasi karena inovasi itu tiada batas👊😎,konten inovasi karena inovasi itu tiada batas
"8:08 Ga adil gimana?
Adil kok, mereka jual banyak hal demi speedrun terkenal.
Termasuk ngejual karma baik

ngomongin karma, ya bisa kemana mana.
Lingkungan pertemanan mereka toxic, duit banyak tapi tetep aja kurang, jadi magnet yg narik lakiberandalan, jadi bahan omongan penggosip",adil gimana kok mereka jual banyak hal demi speedrun kenal ngejual karma baik ngomongin karma bisa mana mana teman mereka toxic duit banyak tapi tetep aja kurang jadi magnet narik lakiberandalan jadi bahan omong gosip
Terimakasih mas sdh mengedukasi kami ❤,mas sdh edukasi kami
"real bro, gue suka bikin konten tentang poster atau desain sepakbola gitu, udah bikinnya effort banget, cari ide segala macem, eh sepi yg nonton, dan yang rame konten² tolol pamer tete gajelass, kadang kesel bgt gue, dan kenapa pihak sosmed/aplikasi masih ngijinin konten² kaya gitu?",real bro gue suka bikin konten tentang poster atau desain sepakbola gitu udah bikin effort banget cari ide segala macem sepi nonton dan yang rame konten tolol pamer tete gajelass kadang kesel bgt gue dan kenapa pihak sosmedaplikasi masih ngijinin konten kaya gitu
kasian bacah jaman sekarang 😂😂😂 masih bayi udah di kasih maen hp 😂😂😂,kasi bacah jaman sekarang masih bayi udah kasih maen
"konten edukasi butuh effort, konten er*t*s tinggal satset 😂",konten edukasi butuh effort konten erts tinggal satset
Bagus banget ini konten,banget ini konten
"Gua mo kasih masukan bang , kebanyak org kan pasti buka yutub atau sosmed lain tuh buat cari hiburan , klo edukasinya terlalu fokus kebanyakan skip , tapi klo dari pembawaannya sama gambarnya menarik , pasti banyak yg nonton , contoh dari Chanel kok bisa , pembawaannya enak, animasinya ga bosenin sama ada guyon , itu aja sih bang",kasih masuk bang banyak org kan pasti buka yutub atau sosmed lain tuh buat cari hibur klo edukasi terlalu fokus banyak skip tapi klo dari bawa sama gambar tarik pasti banyak nonton contoh dari kok bisa bawa enak animasi bosenin sama guyon itu aja sih bang
Bang sekarang belum ada kata  kamu sesuatu gakpapa bagaimana kami minum Bang,sekarang belum kata kamu sesuatu gakpapa bagaimana kami minum
Biasanya cwek bang😴,cwek bang
"Terima kasih bang, baru nonton gua, isinya daging semua, mari mengheningkan cipta untuk akal sehat, dimana teknologi telah menjadi Tuhan bagi sebagian orang dan menghilangkan Amal Ma'ruf Nahi Munkar",kasih bang baru nonton gua isi daging semua mari hening cipta untuk akal sehat mana teknologi telah jadi bagi bagi orang dan hilang ruf
"siapa yang ngerasa sekarang tiktok waktu kita searching kebanyakan disuguhkan hal hal vulgar kayak gini daripada apa yang mau kita search waktu itu, sungguh miris, merusak generasi penerus bangsa",siapa yang ngerasa sekarang tiktok waktu kita searching banyak suguh hal hal vulgar kayak gin daripada apa yang mau kita search waktu itu sungguh miris rusak generasi terus bangsa
keren banget bang!!,keren banget bang
Awas nanti dibalas komen JANGAN SOK SUCI. Karena sekarang hal hal yg negatif dianggap Normal,nanti balas komen jangan sok suci sekarang hal hal negatif anggap
Manusia makin goblog sekarang,makin goblog sekarang
Semangat bangg,bangg
wkwk yg nonton video ramenya lelaki doang,wkwk nonton video ramenya lelaki doang
Menuju indonesia  cemas,indonesia cemas
Ko ngegas om wkwk,ngegas wkwk
"Udah gak punya hargadiri, dosa jariyah pula. Good luck deh buat para pelaku. 🎉",gak punya hargadiri dosa jariyah pula luck deh buat para laku
pray for teguh suwandi,pray for teguh suwandi
"di luar sana rame cewe2 yg bikin akun OF, dah dah ga malu2 lagi pamerin dan cerita in kisah $eXsual mereka. tpi memang ga salah, $eXsual adalah bisnis tertua yg ada di dunia yg paling gampang",luar sana rame cewe bikin akun dah dah malu lagi pamerin dan cerita kisah exsual mereka tpi memang salah exsual adalah bisnis tua dunia paling gampang
Yang lebih gila nya mereka yang mengekspost postingan yang tidak sewajarnya..apakah mereka tidak berfikir kedepannya bahwa dunia digital tidak akan pernah bisa menghapus yang mereka posting dengan mereka menghapus juga bakalan banyak akun akun reposted/reuoploder yang tdk bertanggung jawab.,lebih gila nya mereka yang mengekspost postingan yang tidak sewajarnyaapakah mereka tidak berfikir depan bahwa dunia digital tidak akan pernah bisa hapus yang mereka posting dengan mereka hapus juga bakal banyak akun akun repostedreuoploder yang tdk tanggung jawab
Bang lu Kya duzzle,duzzle
langsung subscribeee,langsung subscribee
keren kak kontennya semangatt selaluu,keren kak konten semangatt selaluu
Karena orang-orang lebih suka dibikin sange daripada dibikin berpengetahuan,orangorang lebih suka bikin sange daripada bikin tahu
"Bener banget, buka Ig aja suka Nemu fyp pasutri canda hal² ranjang, ntah prank suami pulang jumatan dikagetin istri pke lingerie. Kenapa hal² kayak gitu jadi ringan sekali untuk dijadikan konten. Dan bisa²nya banyak yg like, lalu jadilah inspirasi konten para pasutri lainnya hadehh 😓",banget buka aja suka fyp pasutri canda hal ranjang ntah prank suami pulang jumat dikagetin istri pke lingerie hal kayak gitu jadi ringan sekali untuk jadi konten bisa banyak like lalu jadi inspirasi konten para pasutri lain hadehh
"Sangat miris memang seiring berkembangnya zaman di era globalisasi skrng ini, bnyk konten² di berbagai platform yg menyuguhkan konten² yg merusak nilai & norma. Saking menyebarluasnya konten² dan film² senonoh di berbagai media, tanpa di sadari bahwa hal itu akan di normalisasikan oleh sebagian orang² yg menonton hal tersebut, entah itu dari kalangan ank kecil, remaja, maupun dewasa, terlebih untuk anak² di bawah umur. Faktanya sekarang ini pelaku kejahatan seksual bukan hnya dilakukan oleh org² dewasa, mirisnya semakin merajalela yg melakukan hal tersebut adalah anak² kecil yg msih remaja, salah satu dari faktor penyebab kejahatan seksual  itu sndri adalah krna bnyknya video² & film² yg isinya mengandung unsur² seksual.",miris memang iring kembang zaman era globalisasi skrng ini bnyk konten bagai platform suguh konten rusak nilai norma menyebarluasnya konten dan film senonoh bagai media tanpa sadar bahwa hal itu akan normalisasi oleh bagi orang tonton hal sebut entah itu dari kalang ank kecil remaja maupun dewasa lebih untuk anak bawah umur sekarang ini laku jahat seksual bukan hnya laku oleh org dewasa miris makin rajalela laku hal sebut adalah anak kecil msih remaja salah satu dari faktor sebab jahat seksual itu sndri adalah krna bnyknya video film isi kandung unsur seksual
"bikin konten ero begitu karena endorse gaada yang masuk kecuali judi makanya kebanyakan akhirnya jual konten premium, only fans, atau sejenisnya. tapi tetep aja dimata kita mereka itu cuma orang gak punya value yang lagi jual diri",bikin konten ero begitu karena endorse gaada yang masuk kecuali judi makanya banyak akhir jual konten premium only fans atau jenis tapi tetep aja mata kita mereka itu cuma orang gak punya value yang lagi jual diri
"Semangat bang, saya subscribe channel yang seperti ini🔥✊🏾",bang saya subscribe channel yang seperti ini
